ARC_ID,County,Need,Index, Cost ,Link
AB-023,AB,3,7,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-024,AB,2,6,1031253.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
AB-025,AB,4,5,1000004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-001,CD,5,4,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-002,CD,1,3,750003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-003,CD,2,2,1375006.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-004,CD,10,1,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-005,CD,10,14,1031254.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-006,CD,2,13,1000005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-007,CD,7,12,500003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-008,CD,8,11,750004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-009,CD,5,12,1375007.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-010,CD,7,11,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-011,CD,3,10,1000001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-012,CD,10,9,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-013,CD,7,8,750001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-014,CD,10,7,1375001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-015,CD,1,6,343750.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-016,CD,2,5,1031251.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-017,CD,3,4,1000002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-018,CD,4,3,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-019,CD,5,2,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-020,CD,6,1,1375003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-021,CD,4,14,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-022,CD,7,13,1031252.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-023,CD,8,12,1000003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-024,CD,9,11,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-025,CD,10,10,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-026,CD,1,9,1375004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-027,CD,2,8,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-028,CD,3,7,1031253.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-029,CD,4,6,1000004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-030,CD,5,5,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-031,CD,6,4,750003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-032,CD,4,3,1375006.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-033,CD,7,2,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-034,CD,8,1,1031254.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-035,CD,9,14,1000005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-036,CD,3,13,500003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-037,CD,2,12,750004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-038,CD,4,11,1375007.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-039,CD,5,12,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-040,CD,1,11,1031255.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-041,CD,2,10,1000006.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-042,CD,10,9,500003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-043,CD,10,8,750005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-044,CD,2,7,1375008.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-045,CD,7,6,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-046,CD,8,5,1000002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-047,CD,5,4,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-048,CD,7,3,1000001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-049,CD,3,2,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-050,CD,10,1,750001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-051,CD,7,14,1375001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
CD-052,CD,10,13,343750.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-001,EF,1,12,1031251.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-002,EF,8,11,1000002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-003,EF,1,10,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-004,EF,2,9,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-005,EF,2,8,1375003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-006,EF,3,7,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-007,EF,4,6,1031252.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-008,EF,5,5,1000003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-009,EF,3,4,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-010,EF,5,3,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-011,EF,6,2,1375004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-012,EF,7,1,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-013,EF,8,14,1031253.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-014,EF,1,13,1000004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-015,EF,2,12,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-016,EF,2,11,750003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-017,EF,3,12,1375006.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-018,EF,4,11,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-019,EF,5,10,1031254.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-020,EF,3,9,1000005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-021,EF,5,8,500003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-022,EF,6,7,750004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-023,EF,7,6,1375007.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-024,EF,2,5,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-025,EF,2,4,1031255.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
EF-026,EF,3,3,1000001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-001,GH,4,2,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-002,GH,1,1,750001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-003,GH,2,14,1375001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-004,GH,8,13,343750.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-005,GH,8,12,1031251.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-006,GH,2,11,1000002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-007,GH,5,10,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-008,GH,6,9,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-009,GH,4,8,1375003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-010,GH,5,7,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-011,GH,2,6,1031252.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-012,GH,8,5,1000003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-013,GH,5,4,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-014,GH,8,3,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-015,GH,1,2,1375004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-016,GH,2,1,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-017,GH,2,14,1031253.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-018,GH,3,13,1000004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-019,GH,4,12,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-020,GH,5,11,750003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-021,GH,3,12,1375006.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-022,GH,5,11,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-023,GH,6,10,1031254.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-024,GH,7,9,1000005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-025,GH,8,8,500003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-026,GH,1,7,750004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-027,GH,2,6,1375007.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-028,GH,2,5,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-029,GH,3,4,1031255.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-030,GH,4,3,1000006.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-031,GH,5,2,500003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-032,GH,3,1,750005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-033,GH,5,14,1375008.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-034,GH,6,13,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-035,GH,7,12,1000002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-036,GH,2,11,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-037,GH,2,10,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-038,GH,3,9,1375003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-039,GH,4,8,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-040,GH,1,7,1031252.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-041,GH,2,6,1000003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-042,GH,8,5,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-043,GH,8,4,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-044,GH,2,3,1375004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-045,GH,5,2,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-046,GH,6,1,1031253.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-047,GH,4,14,1000004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-048,GH,5,13,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-049,GH,2,12,750003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-050,GH,8,11,1375006.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-051,GH,5,12,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-052,GH,8,11,1031254.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-053,GH,1,10,1000005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-054,GH,6,9,500003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-055,GH,1,8,750004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-056,GH,1,7,1375007.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-057,GH,2,6,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-058,GH,2,5,1031255.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-059,GH,3,4,1000006.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-060,GH,3,3,500003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-061,GH,2,7,750005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-062,GH,4,6,1375008.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-063,GH,5,5,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-064,GH,5,4,1031256.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-065,GH,6,3,1000007.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-066,GH,1,2,500004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-067,GH,1,1,750005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-068,GH,2,14,1375010.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-069,GH,2,13,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-070,GH,3,12,1000003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-071,GH,3,11,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-072,GH,2,10,1000002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-073,GH,4,9,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-074,GH,5,8,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-075,GH,5,7,1375003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-076,GH,2,6,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-077,GH,1,5,1031252.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-078,GH,2,4,1000003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-079,GH,3,3,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-080,GH,1,2,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-081,GH,7,1,1375004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-082,GH,8,14,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-083,GH,1,13,1031253.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-084,GH,2,12,1000004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
GH-085,GH,2,11,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-086,IJ,5,-10,1000000.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-087,IJ,-1,5,500000.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-088,IJ,-12,15,750000.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-089,IJ,15,-12,1375000.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-090,IJ,7,7,343750.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-091,IJ,12,-7,1031250.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-092,IJ,1,-1,1000001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-093,IJ,2,-12,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-094,IJ,12,-2,750001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-095,IJ,0,12,1375001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-096,IJ,-2,-1,343750.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-097,IJ,-2,0,1031251.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-098,IJ,-5,1,1000002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-099,IJ,1,2,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-100,IJ,12,3,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-101,IJ,-15,4,1375003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-102,IJ,-7,-9,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-103,IJ,-12,-8,1031252.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-104,IJ,-1,-7,1000003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-105,IJ,-2,-6,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-106,IJ,-12,15,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-107,IJ,0,-5,1375004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-108,IJ,2,-15,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-109,IJ,2,12,1031253.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-110,IJ,5,-7,1000004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-111,IJ,-1,7,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-112,IJ,0,1,750003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-113,IJ,0,12,1375006.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-114,IJ,1,2,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-115,IJ,-1,-12,1031254.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-116,IJ,-2,1,1000005.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-117,IJ,-2,0,500003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-118,IJ,1,-1,750004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-119,IJ,2,-2,1375007.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-120,IJ,1,-3,343752.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-121,IJ,0,-4,1000001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-122,IJ,2,9,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-123,IJ,-4,8,750001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-124,IJ,-5,7,1375001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-125,IJ,2,6,343750.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-126,IJ,1,-15,1031251.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-127,IJ,1,5,1000002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-128,IJ,-2,-3,500001.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-129,IJ,4,-10,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-130,IJ,14,9,1375003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-131,IJ,-13,-5,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-132,IJ,-5,1,1031252.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-133,IJ,-10,-10,1000003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-134,IJ,1,0,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-135,IJ,0,14,750002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-136,IJ,-10,1,1375004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-137,IJ,2,2,343751.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-138,IJ,4,3,1031253.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-139,IJ,4,4,1000004.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-140,IJ,7,5,500002.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
IJ-141,IJ,1,6,750003.00,http://documents.atlantaregional.com/transportation/quarterlyfactsheets/DK-344C.PDF
